,Date,User,Tweet
50,2022-08-20 05:12:40+00:00,SiphamandlaGoge,"#InkosiEsibayeni Enroute KwaKhangelamankengane Royal Palace. AmaZulu King, MisuZulu KaZwelithini ungena esibayeni today. #eNCA https://t.co/7lewWfsRUY"
51,2022-08-20 04:59:42+00:00,SiphamandlaGoge,@AbdulHattia Thank you.
52,2022-08-20 04:59:26+00:00,SiphamandlaGoge,@jhb_pta Enkosi.
53,2022-08-19 22:01:23+00:00,SiphamandlaGoge,"@zolile_sk No, I would politely ask to decline the offer."
54,2022-08-19 22:00:00+00:00,SiphamandlaGoge,@DJMAOSH3 @eNCA Enkosi.
55,2022-08-19 21:59:29+00:00,SiphamandlaGoge,@kwenzamk @lindziiiiiii Uyakhumbuleka kakhulu.
56,2022-08-19 21:33:25+00:00,SiphamandlaGoge,#InkosiEsibayeni It's a wrap KwaKhangelamankengane Royal Palace. #Umbhobho uzosebenza kusasa.#eNCA https://t.co/janYPTW9U8
57,2022-08-19 19:37:17+00:00,SiphamandlaGoge,@ecprov Siyabongà kakhulu.
58,2022-08-19 19:33:35+00:00,SiphamandlaGoge,@MlamuliSA Thank you.
59,2022-08-19 19:23:07+00:00,SiphamandlaGoge,@_AfricanSoil 😂😂
60,2022-08-19 18:45:43+00:00,SiphamandlaGoge,@kuphokungokweth Okay.
61,2022-08-19 17:58:54+00:00,SiphamandlaGoge,"#InkosiEsibayeni AmaZulu King, MisuZulu KaZwelithini's lawyer Griffits Madonsela SC is also KwaKhangelamankengane. #eNCA https://t.co/nYYTKY4ZLm"
62,2022-08-19 17:02:19+00:00,SiphamandlaGoge,#InkosiEsibayeni King MisuZulu's brothers Princes Simingaye &amp; Lungelo lead in song &amp; dance KwaKhangelamankengane Royal Palace. #eNCA https://t.co/PLUkXIudlR
63,2022-08-19 16:16:31+00:00,SiphamandlaGoge,@smith_tshepi Thenga ucingo.
64,2022-08-19 16:11:47+00:00,SiphamandlaGoge,"#InkosiEsibayeni Prince Vanana of KwaMinyamanzi leading ibutho KwaKhangelamankengane. AmaZulu King, MisuZulu KaZwelithini is set to perform a significant cemeremony of ukungena esibayeni this weekend. #eNCA https://t.co/S8LhaI34Mu"
65,2022-08-19 16:11:15+00:00,SiphamandlaGoge,@smith_tshepi Ungasthengela nawe.
66,2022-08-19 16:03:06+00:00,SiphamandlaGoge,#InkosiEsibayeni Current situation KwaKhangelamankengane Royal Palace. #eNCA https://t.co/IqjxZvsiAn
67,2022-08-19 13:03:49+00:00,SiphamandlaGoge,"#InkosiEsibayeni It's raining KwaNongoma. Preparations are underway for AmaZulu King, MisuZulu KaZwelithini's traditional ceremony of ukungena esibayeni on Saturday. #eNCA https://t.co/5BNaOHagOQ"
68,2022-08-19 12:40:17+00:00,SiphamandlaGoge,"#InkosiEsibayeni Izintombi KwaKhangelamankengane Palace. AmaZulu King, MisuZulu KaZwelithini ungena esibayeni tomorrow. #eNCA https://t.co/4Co6BeU7yD"
69,2022-08-19 12:23:32+00:00,SiphamandlaGoge,"#InkosiEsibayeni Preparations are underway KwaKhangelamankengane Palace, ahead of a very significant traditional ukungena esibayeni ceremony of AmaZulu King, MisuZulu KaZwelithini. #eNCA https://t.co/s8aDscIXyp"
70,2022-08-19 10:55:24+00:00,SiphamandlaGoge,@AnswerLongnaval Okay.
71,2022-08-19 09:40:11+00:00,SiphamandlaGoge,@ZukoMndayi1 @eNCA Sizobe sikhona.
72,2022-08-19 09:34:18+00:00,SiphamandlaGoge,"#ZuluRoyalFamily Application for leave to appeal on the matter involving the late AmaZulu King, Zwelithini KaBhekuzulu's will has been granted. Queen Sibongile from KwaKhetha &amp; her daughters, Princesses Ntombizosuthu &amp; Ntandoyenkosi are challenging the validity of the will. #eNCA https://t.co/IgavRmCKUI"
73,2022-08-19 08:27:57+00:00,SiphamandlaGoge,"@MaZuluOmuhlez Ngicela ungiphelezele bo, kudingeka izandla eziningi esigodlweni😅. Kuzobe kumatasa."
74,2022-08-19 08:25:22+00:00,SiphamandlaGoge,@PhilaniNgoza @bajaybetserayi Ngiyabonga.
75,2022-08-19 07:44:15+00:00,SiphamandlaGoge,"@ZuluMbekezeli Hahahah, besiyinika ispace iNkosi izolo Ndaba. Namhlanje izinto zizoqala ukunyakanza ntambama esgodlweni, sizobe sikhona uma sekunomnyakazo."
76,2022-08-19 07:38:53+00:00,SiphamandlaGoge,"@SakhileNyanga1 Hahaha, siyabhimba isilungu."
77,2022-08-19 07:20:51+00:00,SiphamandlaGoge,@Mphili_Sithole @MaBee_gee @aluakho 🙈🙈
78,2022-08-19 07:05:56+00:00,SiphamandlaGoge,@mthand3ni Magaye!
79,2022-08-19 07:04:17+00:00,SiphamandlaGoge,@stimboz @ms_byk Nakanjani!
80,2022-08-19 06:02:49+00:00,SiphamandlaGoge,@IamMangi @uThembisa Kodwa yini 😂😂😂😂
81,2022-08-19 04:12:49+00:00,SiphamandlaGoge,@uThembisa 😅
82,2022-08-18 22:16:45+00:00,SiphamandlaGoge,"@Rich_Mphazima Ewu, bengizoyiveza ukuba ikhona"
83,2022-08-18 21:43:53+00:00,SiphamandlaGoge,@ThubelihleKS 😂
84,2022-08-18 21:13:01+00:00,SiphamandlaGoge,@MalusiBooi Enkosi my brother.
85,2022-08-18 21:08:49+00:00,SiphamandlaGoge,@MsNkunaT Uchuku 😂
86,2022-08-18 21:00:57+00:00,SiphamandlaGoge,"@KatlehoLechoo As far as I know, he is protected by SAPS."
87,2022-08-18 20:58:20+00:00,SiphamandlaGoge,@Bhekabk Bengingekho kuzingelwa mfowethu.
88,2022-08-18 20:55:54+00:00,SiphamandlaGoge,@Vuyo_Ngcemu 😅
89,2022-08-18 20:50:55+00:00,SiphamandlaGoge,@Sboonelo 😂
90,2022-08-18 20:50:30+00:00,SiphamandlaGoge,@BalungileSapo Enkosi.
